TABLEID,SCHEMANAME,TABLE DESCRIPTION,TABLE NAME,COLUMNNAME,DATATYPE,PRIMARYKEY,FOREIGNKEY,DESCRIPTION
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,ANESTHESIAPROCEDURECODE,VARCHAR(16777216),,PROCEDURECODE.PROCEDURECODE,The anesthesia code selected for this service. The procedure code value is directly available here for convenience and can be used to join to the Procedure Code table for additional information.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,PROCEDURECODE,VARCHAR(16777216),,,The procedure code and modifiers for this service. 
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DIAGNOSIS1,VARCHAR(16777216),,"ICDCODEALL.DIAGNOSISCODE, ICDCODEALL.DIAGNOSISCODESET","The primary diagnosis for the case. The diagnosis code value is directly available here for convenience and can be used to join to the ICD Code All table for additional information. The join to ICD Code All should also specify a date join to the """"ICD Code All"""".""""Effective Date"""" and """"ICD Code All"""".""""Expiration Date"""" columns as well as join """"Anesthesia Case"""".""""Diagnosis Code Set"""" to """"ICD Code All"""".""""Diagnosis Code Set""""."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DIAGNOSIS2,VARCHAR(16777216),,"ICDCODEALL.DIAGNOSISCODE, ICDCODEALL.DIAGNOSISCODESET","The secondary diagnosis for the case. The diagnosis code value is directly available here for convenience and can be used to join to the ICD Code All tablefor additional information. The join to ICD Code All should also specify a date join to the """"ICD Code All"""".""""Effective Date"""" and """"ICD Code All"""".""""Expiration Date"""" columns as well as join """"Anesthesia Case"""".""""Diagnosis Code Set"""" to """"ICD Code All"""".""""Diagnosis Code Set""""."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DIAGNOSIS3,VARCHAR(16777216),,"ICDCODEALL.DIAGNOSISCODE, ICDCODEALL.DIAGNOSISCODESET","The tertiary diagnosis for the case. The diagnosis code value is directly available here for convenience and can be used to join to the ICD Code All table for additional information. The join to ICD Code All should also specify a date join to the """"ICD Code All"""".""""Expiration Date"""" columns as well as join """"Anesthesia Case"""".""""Diagnosis Code Set"""" to """"ICD Code All"""".""""Diagnosis Code Set""""."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DIAGNOSIS4,VARCHAR(16777216),,"ICDCODEALL.DIAGNOSISCODE, ICDCODEALL.DIAGNOSISCODESET","The quaternary diagnosis for the case. The diagnosis code value is directly available here for convenience and can be used to join to the ICD Code All table for additional information. The join to ICD Code All should also specify a date join to the """"ICD Code All"""".""""Effective Date"""" and """"ICD Code All"""".""""Expiration Date"""" columns as well as join """"Anesthesia Case"""".""""Diagnosis Code Set"""" to """"ICD Code All"""".""""Diagnosis Code Set""""."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DIAGNOSISCODESET,VARCHAR(16777216),,,To determine whether it is ICD9 or ICD10 code.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,NONANESTHESIAYN,VARCHAR(16777216),,,"Indicates that the service being billed is for the base procedure, not a time-based anesthesia service. No indicates a time-based anesthesia service."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was deleted."
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,ATTACHTOPARENTYN,VARCHAR(16777216),,," If set to Y, the child case will be handled in conjunction with the parent case, rather than as its own entity (e.g., it will display with the parent; an update to the parent will update the children)"
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,NOTES,VARCHAR(16777216),,,
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,ANESTHESIATYPEID,"NUMBER(12,0)",,,
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,FROMHOSPITALIZATIONDATE,TIMESTAMP_NTZ(9),,,The hospitalization admittance date for the case
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,MEDICALDIRECTION,VARCHAR(16777216),,,Indicator of whether or not all the elements of direction were met
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,EXTENUATINGCIRCUMSTANCEIDS,VARCHAR(16777216),,,Tab-separated IDs of extenuating circumstance codes
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,UNITS,"NUMBER(12,0)",,,
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,PHYSICALSTATUSMODIFIER,VARCHAR(16777216),,,Modifier indicating physical status of the patient
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,SURGEONID,"NUMBER(12,0)",,REFERRINGPROVIDER.REFERRINGPROVIDERID,The surgeon for the case
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CASEREVIEWYN,VARCHAR(16777216),,,Whether or not a case should be reviewed (just used for reporting)
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,QUEUEDFORCLAIMCREATIONDATE,TIMESTAMP_NTZ(9),,,"Timestamp for when the user requested the claim(s) to be created for this case via the """"create all"""" workflow"
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,QUEUEDFORCLAIMCREATIONBY,VARCHAR(16777216),,,"User who requested the claim(s) to be created for this case via the """"create all"""" workflow"
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,OPERATINGROOMID,"NUMBER(12,0)",,,
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,TOHOSPITALIZATIONDATE,TIMESTAMP_NTZ(9),,,The hospitalization discharge date for the case
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,REFERRINGPROVIDERID,"NUMBER(12,0)",,,
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
3,ATHENAONE,Appointment,APPOINTMENT,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
3,ATHENAONE,Appointment,APPOINTMENT,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
3,ATHENAONE,Appointment,APPOINTMENT,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTID,"NUMBER(12,0)",Primary Key,,The athena-assigned ID for this appointment slot. This number is unique per CONTEXT_ID.
3,ATHENAONE,Appointment,APPOINTMENT,PARENTAPPOINTMENTID,"NUMBER(12,0)",,APPOINTMENT.APPOINTMENTID,A reference to the parent appointment record when an appointment crosses multiple slots.
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTDATE,DATE,,,The day of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTSTARTTIME,VARCHAR(16777216),,,"The time of the appointment, local to the time zone of the practice."
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCREATEDDATETIME,TIMESTAMP_NTZ(9),,,The date the slot was created.
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCREATEDBY,VARCHAR(16777216),,,The user who created the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTSCHEDULEDDATETIME,TIMESTAMP_NTZ(9),,,The date parent appointment's slot was filled.
3,ATHENAONE,Appointment,APPOINTMENT,SCHEDULEDBY,VARCHAR(16777216),,,The user who booked the parent appointment's slot.
3,ATHENAONE,Appointment,APPOINTMENT,SCHEDULEDBYMDPPARTNERNAME,VARCHAR(16777216),,,This is the MDP Partner name if the appointment was scheduled by an MDP Partner
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCHECKINDATETIME,TIMESTAMP_NTZ(9),,,The date of parent appointment's check-in.
3,ATHENAONE,Appointment,APPOINTMENT,CHECKEDINBY,VARCHAR(16777216),,,The user who checked the patient in (parent appointment).
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCHECKOUTDATETIME,TIMESTAMP_NTZ(9),,,The date of parent appointment's check-out.
3,ATHENAONE,Appointment,APPOINTMENT,CHECKEDOUTBY,VARCHAR(16777216),,,The user who checked the patient out (parent appointment).
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCANCELLEDDATETIME,TIMESTAMP_NTZ(9),,,The date of cancellation if the parent appointment was cancelled.
3,ATHENAONE,Appointment,APPOINTMENT,CANCELLEDBY,VARCHAR(16777216),,,The user who cancelled the appointment (parent appointment).
3,ATHENAONE,Appointment,APPOINTMENT,CANCELLEDBYMDPPARTNERNAME,VARCHAR(16777216),,,This is the MDP Partner name if the appointment was cancelled by an MDP Partner
3,ATHENAONE,Appointment,APPOINTMENT,STARTCHECKINDATETIME,TIMESTAMP_NTZ(9),,,Start time of appointment check-in.
3,ATHENAONE,Appointment,APPOINTMENT,STOPSIGNOFFDATETIME,TIMESTAMP_NTZ(9),,,Stop time of appointment sign-off.
3,ATHENAONE,Appointment,APPOINTMENT,RESCHEDULEDAPPOINTMENTID,"NUMBER(12,0)",,APPOINTMENT.APPOINTMENTID,The new Appointment ID after rescheduling.
3,ATHENAONE,Appointment,APPOINTMENT,RESCHEDULEDDATETIME,TIMESTAMP_NTZ(9),,,The date when the appointment was rescheduled.
3,ATHENAONE,Appointment,APPOINTMENT,RESCHEDULEDBY,VARCHAR(16777216),,,The user who rescheduled the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,RESCHEDULEDBYMDPPARTNERNAME,VARCHAR(16777216),,,This is the MDP Partner name if the appointment was rescheduled by an MDP Partner
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTSTATUS,VARCHAR(16777216),,,"The current status of the parent appointment / appointment. Possible values are: 'f - Filled','2 - Checked In','3 - Checked Out','4 - Charge Entered','x - Cancelled','o - Open Slot'."
3,ATHENAONE,Appointment,APPOINTMENT,FROZENYN,VARCHAR(16777216),,,"If 'Yes' is selected, this appointment has been frozen."
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTFROZENREASON,VARCHAR(16777216),,,Reason why appointment slots are frozen (practice-specific).
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTTYPEID,"NUMBER(12,0)",,APPOINTMENTTYPE.APPOINTMENTTYPEID,The ID for appointment type (practice-specific).
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTDURATION,"NUMBER(4,0)",,,The duration of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,NOCHARGEENTRYREASON,VARCHAR(16777216),,,"This field is entered on the Patient tab of the Checkout screen, under the Charge Entry section. When the user selects 'Mark Appointment as Not Requiring Charge Entry' these options are populated. Values include DUPLICATE, MULTIRESOURCE, NOSERVICE and OTHER. This field may be NULL."
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCANCELREASON,VARCHAR(16777216),,,The reason given for cancellation. Possible options are administered by the practice.
3,ATHENAONE,Appointment,APPOINTMENT,CLAIMID,"NUMBER(12,0)",,CLAIM.CLAIMID,The ID of the claim generated from the parent appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PRIMARYPATIENTINSURANCEID,"NUMBER(12,0)",,PATIENTINSURANCE.PATIENTINSURANCEID,Primary Patient Insurance ID of the parent appointment.
3,ATHENAONE,Appointment,APPOINTMENT,SECONDARYPATIENTINSURANCEID,"NUMBER(12,0)",,PATIENTINSURANCE.PATIENTINSURANCEID,Secondary Patient Insurance ID of the parent appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTID,"NUMBER(12,0)",,PATIENT.PATIENTID,
3,ATHENAONE,Appointment,APPOINTMENT,DEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,
3,ATHENAONE,Appointment,APPOINTMENT,SCHEDULINGPROVIDER,VARCHAR(16777216),,,Name of the provider the slot was built out for or the appointment was filled for.
3,ATHENAONE,Appointment,APPOINTMENT,SCHEDULINGPROVIDERID,"NUMBER(12,0)",,,This is the provider ID for the provider associated with the template
3,ATHENAONE,Appointment,APPOINTMENT,PROVIDERID,"NUMBER(12,0)",,PROVIDER.PROVIDERID,The provider the patient was checked in to see.
3,ATHENAONE,Appointment,APPOINTMENT,REFERRINGPROVIDERID,"NUMBER(12,0)",,REFERRINGPROVIDER.REFERRINGPROVIDERID,The provider who created the referral for this appointment; can be null.
3,ATHENAONE,Appointment,APPOINTMENT,REFERRALAUTHID,"NUMBER(12,0)",,REFERRALAUTH.REFERRALAUTHID,The referral for the appointment; can be null.
3,ATHENAONE,Appointment,APPOINTMENT,CYCLETIME,"NUMBER(24,6)",,,The number of minutes between check out and check in.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTOUTSTANDINGAMOUNT,"NUMBER(12,2)",,,The sum of the amount outstanding for a patient at the time of the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTOUTSTANDINGCOLLECTED,"NUMBER(12,2)",,,The sum of all money collected at the appointment that was outstanding at the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,COLLECTIONSAMOUNT,"NUMBER(12,2)",,,The sum of all charges in collections the time of the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,COLLECTIONSAMOUNTCOLLECTED,"NUMBER(12,2)",,,The sum of all money collected at the appointment that was in collections at the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTUNAPPLIEDAMOUNT,"NUMBER(12,2)",,,The sum of money that was unapplied at the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTUNAPPLIEDCOLLECTED,"NUMBER(12,2)",,,Sum of unapplied money collected during the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTFAMILYOUTSTANDINGAMT,"NUMBER(12,2)",,,The sum of the amount outstanding for a patient's family at the time of the start of the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,FAMILYOUTSTANDINGCOLLECTED,"NUMBER(12,2)",,,The sum of all money collected at the appointment that was outstanding at the start of the appointment for the patient's family. This value DOES NOT include outstanding amounts for the patient.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTFAMILYCOLLECTIONAMT,"NUMBER(12,2)",,,The sum of all charges in collections the time of the start of the appointment for the patient's family.
3,ATHENAONE,Appointment,APPOINTMENT,FAMILYCOLLECTIONCOLLECTED,"NUMBER(12,2)",,,The sum of all money collected at the appointment that was in collections at the start of the appointment for the patient's family.
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTOUTSTANDINGPMTCHOICE,VARCHAR(16777216),,,Patient Outstanding Payment Choice.
3,ATHENAONE,Appointment,APPOINTMENT,PAYMENTPLANID,"NUMBER(11,0)",,PAYMENTPLAN.PAYMENTPLANID,
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTDELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the appointment was deleted."
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTDELETEDBY,VARCHAR(16777216),,,The user who deleted the appointment.
3,ATHENAONE,Appointment,APPOINTMENT,NOCHARGEENTRYSIGNOFF,VARCHAR(16777216),,,The user who marked a charge entry as not required for the corresponding appointment.
3,ATHENAONE,Appointment,APPOINTMENT,APPMTSCHEDULEDDATETIMEAST,TIMESTAMP_NTZ(9),,,The date parent appointment's slot was filled in athena standard time (AST).
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTTYPEBLOCKID,"NUMBER(12,0)",,APPTSCHEDTEMPAPPTTYPEBLOCK.APPSCHEDTEMPAPPTYPEBLOCKID,The template block that created this slot.
3,ATHENAONE,Appointment,APPOINTMENT,SCHEDULINGTEMPLATEID,"NUMBER(12,0)",,APPTSCHEDULINGTEMPLATE.APPTSCHEDULINGTEMPLATEID,The template that created this slot.
3,ATHENAONE,Appointment,APPOINTMENT,SUGGESTEDOVERBOOKING,"NUMBER(12,0)",,,Whether or not the patient is a likely no-show and this slot is suggested to be overbooked.
3,ATHENAONE,Appointment,APPOINTMENT,SLOTACTIONID,"NUMBER(38,0)",,,This is the Slot action which created this appointment
3,ATHENAONE,Appointment,APPOINTMENT,FORCEDYN,VARCHAR(16777216),,,"If this flag is set, this appointment was forced in through a non-template workflow"
3,ATHENAONE,Appointment,APPOINTMENT,TEMPLATEAPPOINTMENTID,"NUMBER(12,0)",,,This is the ID of the slot
3,ATHENAONE,Appointment,APPOINTMENT,TEMPLATEAPPOINTMENTTYPEID,"NUMBER(12,0)",,,"This is the name of the appointment type used to create the slot (e.g., ANY15)"
3,ATHENAONE,Appointment,APPOINTMENT,LOCALPATIENTAPPOINTMENTLABELID,"NUMBER(12,0)",,,This is the ID for the Patient Appointment Reason (only populated if the appointment was originally scheduled on the portal)
3,ATHENAONE,Appointment,APPOINTMENT,LOCALPATIENTAPPOINTMENTLABELNAME,VARCHAR(16777216),,,This is the Patient Appointment Reason (only populated if the appointment was originally scheduled on the portal)
3,ATHENAONE,Appointment,APPOINTMENT,GROUPCHECKINAPPOINTMENTID,"NUMBER(12,0)",,APPOINTMENT.APPOINTMENTID,"Sometimes, the practice wants to check-in/check-out appointments as a group; this allows them to do that. So these are the appointments that were checked in at the same time as this appointment.:"
3,ATHENAONE,Appointment,APPOINTMENT,INITIALEPAYMENTCONTRACTID,"NUMBER(12,0)",,EPAYMENTCONTRACT.EPAYMENTCONTRACTID,We are stamping the contract id if the user has a one year or single appointment contract at the start of the appointment: foreign key to EPAYMENTCONTRACT.ID
3,ATHENAONE,Appointment,APPOINTMENT,EPAYMENTCONTRACTID,"NUMBER(12,0)",,EPAYMENTCONTRACT.EPAYMENTCONTRACTID,"If the patient wants to save a credit card on file before the claim for the appointment gets created, we can associate the claim to the contract via this field."
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCONFIRMATIONID,"NUMBER(12,0)",,,"For those practices with automated appointment reminders activated, this column will store the ID associated with the confirmation result received from the foreign system.: foreign key to APPOINTMENTCONFIRMATION.ID"
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTLASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTLASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
3,ATHENAONE,Appointment,APPOINTMENT,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
3,ATHENAONE,Appointment,APPOINTMENT,APPOINTMENTCANCELREASONID,"NUMBER(12,0)",,,
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTOUTSTANDINGPMTCHOICEID,"NUMBER(12,0)",,,
3,ATHENAONE,Appointment,APPOINTMENT,PATIENTOUTSTANDINGPMTCHOICEREASON,VARCHAR(16777216),,,
3,ATHENAONE,Appointment,APPOINTMENT,STOPCHECKIN,TIMESTAMP_NTZ(9),,,
3,ATHENAONE,Appointment,APPOINTMENT,STARTCHECKOUT,TIMESTAMP_NTZ(9),,,
3,ATHENAONE,Appointment,APPOINTMENT,STOPCHECKOUT,TIMESTAMP_NTZ(9),,,
3,ATHENAONE,Appointment,APPOINTMENT,DEFERINSURANCEYN,VARCHAR(16777216),,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,APPOINTMENTELIGIBILITYINFOID,"NUMBER(12,0)",Primary Key,,The ID of the appointment eligibility info.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,APPOINTMENTID,"NUMBER(12,0)",,APPOINTMENT.APPOINTMENTID,Appointment for which the eligibility info is saved.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYAMOUNT,"NUMBER(12,2)",,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYAMOUNTCOLLECTED,"NUMBER(12,2)",,,Amount of the copay collected during the appointment.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYCHOICE,VARCHAR(16777216),,,"Reason copay was not paid or partially paid. eg.,'Patient could only pay partial amount','Patient was unable to pay'."
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYTYPE,VARCHAR(16777216),,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was created."
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the entry was deleted."
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYCHOICEREASON,VARCHAR(16777216),,,Explanation by user for selecting other option in copay choice
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,DEFAULTELIGBENEFITREPORTID,"NUMBER(38,0)",,,The eligibilitybenefit that is used to default the copay for an appointment:
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,FINALELIGCOPAYCOLLECTED,"NUMBER(12,2)",,,The copay amount got from eligibilitybenefit that is paid by the user
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,FINALELIGBENEFITREPORTID,"NUMBER(38,0)",,,The eligibilitybenefit of the copay finally paid by the user
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYCHOICEID,"NUMBER(12,0)",,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,BADDEBTCHOICEREASON,VARCHAR(16777216),,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,FAMILYBADDEBTCOLLECTED,"NUMBER(12,2)",,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,FAMILYBADDEBTAMOUNT,"NUMBER(12,2)",,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,COPAYTYPEID,"NUMBER(38,0)",,,
4,ATHENAONE,Appointment Eligibility Info,APPOINTMENTELIGIBILITYINFO,BADDEBTCOLLECTED,"NUMBER(12,2)",,,
